Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind10,tFind20,tFind40,tFind80
1.62242e+07,120,80,St,3.32101e+06,13890,12030,11830,11530
1.22234e+07,120,80,St,22640,10280,10330,15460,11960
1.05278e+07,120,80,St,24770,9719,9680,9450,9500
1.02965e+07,120,80,St,24240,9820,9819,9690,9660
1.04272e+07,120,80,St,26060,10850,10910,10600,10520
1.67525e+09,670,80,CST,381839,2990,2760,1980,2110
1.61161e+09,670,80,CST,3170,1470,1520,1480,1470
1.62085e+09,670,80,CST,4720,1700,1720,1690,1690
1.69407e+09,670,80,CST,4400,1730,1730,1710,1680
1.55716e+09,670,80,CST,2960,1560,1560,1540,1530
2.05775e+07,120,160,St,3.18503e+06,124969,15750,15060,14550
2.0582e+07,120,160,St,60549,16860,14550,14350,14390
2.08481e+07,120,160,St,56480,16770,14610,14420,14440
2.06788e+07,120,160,St,70360,16920,14650,14530,14290
2.04479e+07,120,160,St,53530,16199,14580,14320,14260
1.55268e+09,670,160,CST,3520,1550,1550,1500,1460
1.55207e+09,670,160,CST,3320,1540,1520,1500,1530
1.51817e+09,670,160,CST,3180,1530,1520,1480,1450
1.59835e+09,670,160,CST,3460,1600,1600,1560,1540
1.54308e+09,670,160,CST,3150,1580,1610,1560,1549
4.27014e+07,120,320,St,27730,12060,11710,11520,11400
4.27573e+07,120,320,St,30330,12860,12780,12590,13610
4.14506e+07,120,320,St,24730,23240,11750,11210,11130
4.05271e+07,120,320,St,22850,11450,11360,11250,11290
4.07466e+07,120,320,St,23280,11630,11510,11850,11100
1.54795e+09,670,320,CST,3050,1560,1570,1530,1510
1.55796e+09,670,320,CST,3000,1540,1530,1500,1490
1.60577e+09,670,320,CST,2960,1550,1570,1510,1500
1.55088e+09,670,320,CST,3430,1540,1560,1550,1520
1.53853e+09,670,320,CST,3590,1540,1560,1530,1490
8.63277e+07,120,640,St,2.00469e+06,147640,24250,23350,23230
8.79327e+07,120,640,St,1.14316e+06,147169,24000,23260,23100
8.64511e+07,120,640,St,1.1233e+06,142869,23630,22890,22600
8.75585e+07,120,640,St,1.19932e+06,149680,24040,27409,23150
8.96861e+07,120,640,St,1.19346e+06,149400,24260,23560,23450
1.62573e+09,670,640,CST,3250,1580,1620,1580,1540
1.66424e+09,670,640,CST,2950,1570,1580,1570,1540
1.56938e+09,670,640,CST,3230,1570,1590,1530,1530
1.54121e+09,670,640,CST,3060,1500,1540,1500,1520
1.52918e+09,670,640,CST,2710,1540,1560,1510,1500
1.74841e+08,120,1280,St,73820,17470,14720,14480,14410
1.81453e+08,120,1280,St,74960,17560,14430,14440,14120
1.78641e+08,120,1280,St,82430,18000,14520,14320,16830
1.81898e+08,120,1280,St,74770,17710,14540,14430,14350
2.01857e+08,120,1280,St,98730,21360,17380,17060,17370
1.585e+09,670,1280,CST,3410,1560,1590,1540,1520
1.61554e+09,670,1280,CST,3080,1510,1580,1530,1520
1.56985e+09,670,1280,CST,3140,1570,1590,1580,1530
1.57624e+09,670,1280,CST,3300,1520,1560,1510,1520
1.62625e+09,670,1280,CST,4520,2130,2980,2200,2700
3.48276e+08,120,2560,St,152939,20980,17620,17740,17650
3.53343e+08,120,2560,St,138449,17540,15010,14750,14750
3.53472e+08,120,2560,St,134529,17430,14800,14780,14670
3.59564e+08,120,2560,St,136909,17740,15130,14880,14860
3.53983e+08,120,2560,St,148940,17890,15000,14720,14710
1.60898e+09,670,2560,CST,3150,1530,1570,1490,1480
1.59006e+09,670,2560,CST,9300,3600,3810,2780,2790
1.64575e+09,670,2560,CST,3670,1810,1810,1780,1770
1.57801e+09,670,2560,CST,3400,1580,1580,1570,1540
1.61738e+09,670,2560,CST,3730,1550,1570,1560,1530
6.99372e+08,120,5120,St,67930,17800,15150,14859,14890
7.70179e+08,120,5120,St,118640,30490,27540,26450,26830
7.70798e+08,120,5120,St,76920,18540,15850,15810,15730
7.0529e+08,120,5120,St,77360,18020,14700,14490,14460
7.10073e+08,120,5120,St,77349,17310,14550,14340,14320
1.57977e+09,670,5120,CST,3310,1540,1570,1500,1480
1.5701e+09,670,5120,CST,3290,1540,1560,1520,1510
1.65484e+09,670,5120,CST,3450,1520,1580,1540,1500
1.65162e+09,670,5120,CST,3170,1510,1580,1520,1520
1.69412e+09,670,5120,CST,5580,1600,1630,1600,1570
1.51218e+09,120,10240,St,87050,18830,15130,14680,14680
1.45993e+09,120,10240,St,84390,19910,16840,16570,16470
1.39518e+09,120,10240,St,77689,18700,15470,15260,15170
1.42974e+09,120,10240,St,90270,21840,17060,16850,16290
1.41501e+09,120,10240,St,74050,18610,14900,14690,14630
1.57349e+09,670,10240,CST,3290,1560,1570,1540,1540
1.62117e+09,670,10240,CST,4030,1560,1560,1530,1490
1.61374e+09,670,10240,CST,3920,1830,1820,1780,1810
1.62656e+09,670,10240,CST,3600,1530,1580,1520,1500
1.62248e+09,670,10240,CST,4560,1560,1580,1530,1540
2.90987e+09,120,20480,St,974867,22080,18220,17860,17740
2.97956e+09,120,20480,St,848237,20990,17890,17620,17430
2.89139e+09,120,20480,St,864757,21350,17880,17670,17630
2.98302e+09,120,20480,St,964817,24590,20630,21010,20300
2.86078e+09,120,20480,St,861627,23780,20310,18350,17929
1.62476e+09,670,20480,CST,3070,1630,1680,1600,1610
1.62042e+09,670,20480,CST,5180,1580,1600,1530,1530
1.59811e+09,670,20480,CST,4320,1970,2160,2040,2210
1.61492e+09,670,20480,CST,3960,1550,1540,1520,1510
1.67515e+09,670,20480,CST,4050,1550,1580,1550,1510
5.80766e+09,120,40960,St,1.83558e+06,24849,20050,19840,19570
6.03564e+09,120,40960,St,1.70818e+06,23170,19590,19300,19120
6.03068e+09,120,40960,St,1.71606e+06,23100,19480,19120,19030
5.95886e+09,120,40960,St,1.85913e+06,24109,20230,19920,19860
5.80325e+09,120,40960,St,1.77241e+06,40760,29640,31730,32160
1.57812e+09,670,40960,CST,4050,1790,1770,1740,1730
1.54232e+09,670,40960,CST,3530,1530,1570,1520,1530
1.5562e+09,670,40960,CST,3870,1580,1580,1510,1490
1.57866e+09,670,40960,CST,2940,1560,1560,1510,1530
1.55005e+09,670,40960,CST,3280,1570,1600,1550,1520
1.11546e+10,120,81920,St,1.60794e+06,22390,18590,18200,18520
1.1785e+10,120,81920,St,1.61778e+06,32910,29430,29330,29409
