Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind10,tFind20,tFind40,tFind80,tFindLog,Log
77,13.149,80,CST,5290,950,890,850,820,2100,7
42,13.149,80,CST,2790,640,620,610,620,1180,7
36,13.149,80,CST,3950,1140,900,900,910,1300,7
40,13.149,80,CST,1970,840,810,810,1100,4160,7
43,13.149,80,CST,5140,3640,1170,790,770,1070,7
39,13.149,160,CST,1380,670,650,610,610,1140,8
38,13.149,160,CST,2120,600,600,570,580,950,8
38,13.149,160,CST,1760,760,740,730,740,1210,8
38,13.149,160,CST,3470,790,1060,1690,840,2160,8
39,13.149,160,CST,1590,770,780,770,760,1070,8
37,13.149,320,CST,1400,640,620,660,590,1140,9
36,13.149,320,CST,1570,760,770,730,740,1020,9
36,13.149,320,CST,1390,610,600,610,640,960,9
38,13.149,320,CST,1810,750,750,750,730,1110,9
40,13.149,320,CST,2430,780,760,750,760,1350,9
86,13.150,640,CST,1640,670,630,610,580,880,10
36,13.150,640,CST,1460,620,620,590,600,960,10
36,13.150,640,CST,1720,810,780,780,610,960,10
37,13.150,640,CST,2390,620,610,600,580,1250,10
38,13.150,640,CST,1300,620,620,600,590,810,10
85,13.151,1280,CST,1730,600,580,570,580,840,11
37,13.151,1280,CST,1810,770,760,750,780,1180,11
39,13.151,1280,CST,2360,1680,1530,1400,1300,1560,11
47,13.151,1280,CST,1900,1050,3250,980,1020,1360,11
40,13.151,1280,CST,1630,750,780,820,750,1140,11
87,13.154,2560,CST,2680,880,870,840,850,1730,12
40,13.154,2560,CST,1590,840,840,800,810,1170,12
40,13.154,2560,CST,1450,1220,930,850,850,1430,12
40,13.154,2560,CST,1710,780,790,740,750,1130,12
40,13.154,2560,CST,2140,860,860,850,870,1280,12
89,13.159,5120,CST,1510,630,610,600,600,880,13
36,13.159,5120,CST,1750,1600,830,1320,820,1530,13
36,13.159,5120,CST,1930,1220,1090,1110,1240,1720,13
37,13.159,5120,CST,1640,1060,960,930,940,1110,13
37,13.159,5120,CST,1630,620,610,600,600,890,13
82,13.169,10240,CST,1650,610,620,600,590,910,14
36,13.169,10240,CST,1760,620,610,600,600,970,14
37,13.169,10240,CST,1620,630,610,610,610,1180,14
36,13.169,10240,CST,1660,610,640,680,640,970,14
37,13.169,10240,CST,1270,600,590,600,580,870,14
62,13.19,20480,CST,2970,1030,910,860,740,970,15
30,13.19,20480,CST,38090,840,790,760,750,1060,15
30,13.19,20480,CST,1450,730,740,720,730,1090,15
32,13.19,20480,CST,1460,760,600,590,590,950,15
29,13.19,20480,CST,1500,610,620,610,660,960,15
36,13.231,40960,CST,1810,600,620,650,600,940,16
29,13.231,40960,CST,1450,610,610,600,670,950,16
31,13.231,40960,CST,3180,1190,2520,1380,1970,1730,16
32,13.231,40960,CST,1400,610,620,600,600,1060,16
29,13.231,40960,CST,1640,590,600,570,590,870,16
66,13.313,81920,CST,2180,890,850,830,840,1210,17
39,13.313,81920,CST,6780,910,760,740,740,1860,17
43,13.313,81920,CST,2460,1320,1260,1300,1290,1540,17
36,13.313,81920,CST,1500,630,610,590,600,1100,17
29,13.313,81920,CST,1450,600,620,890,590,860,17
56,13.476,163840,CST,2060,1040,950,940,930,1250,18
32,13.476,163840,CST,2430,770,770,730,740,1330,18
46,13.476,163840,CST,2540,1560,1110,1240,2520,1420,18
30,13.476,163840,CST,1250,610,600,600,600,850,18
29,13.476,163840,CST,1320,740,670,670,790,970,18
60,13.804,327680,CST,2110,900,880,860,840,1240,19
39,13.804,327680,CST,2090,770,740,720,730,1380,19
29,13.804,327680,CST,1590,590,590,590,590,1040,19
29,13.804,327680,CST,1900,790,760,740,720,1170,19
32,13.804,327680,CST,1510,600,600,620,600,1020,19
45,14.459,655360,CST,3150,1700,1640,1630,1620,2050,20
40,14.459,655360,CST,1510,600,610,620,580,880,20
28,14.459,655360,CST,1730,590,600,570,590,1210,20
28,14.459,655360,CST,1640,600,610,650,590,960,20
29,14.459,655360,CST,2250,720,740,730,730,1180,20
63,15.77,1310720,CST,2730,1510,1890,1550,1500,2040,21
40,15.77,1310720,CST,1680,600,610,590,590,1100,21
31,15.77,1310720,CST,1820,630,600,590,600,960,21
34,15.77,1310720,CST,2120,630,610,600,590,1390,21
31,15.77,1310720,CST,2120,780,780,730,740,1190,21
51,18.879,2621440,CST,1910,860,860,860,900,1230,22
38,18.879,2621440,CST,1980,580,590,560,580,950,22
29,18.879,2621440,CST,2710,860,600,620,620,880,22
29,18.879,2621440,CST,1450,600,610,680,600,1210,22
30,18.879,2621440,CST,2240,590,610,590,590,890,22
53,26.743,5242880,CST,2080,1080,1070,1040,1040,1610,23
35,23.635,5242880,CST,1510,610,610,600,590,970,23
31,23.635,5242880,CST,1340,600,590,640,590,890,23
31,23.635,5242880,CST,1920,750,770,760,740,1200,23
31,23.635,5242880,CST,1420,590,610,590,580,1050,23
63,26.740,10485760,CST,3560,1590,1560,1530,1460,1880,24
47,26.740,10485760,CST,2630,770,770,830,820,1690,24
42,26.740,10485760,CST,1599,620,610,590,580,980,24
41,26.740,10485760,CST,1420,600,590,590,600,960,24
41,42.472,10485760,CST,2110,730,730,720,710,1160,24
