Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind50,tFind500,tFindLog,Log
7,120,500,St,3546,651,561,639,9
10,120,500,St,4638,759,624,1058,9
8,120,500,St,9066,1667,1216,1170,9
4,120,500,St,2624,720,453,429,9
3,120,500,St,4450,724,583,768,9
74,670,500,CST,10753,2879,2273,14371,9
65,670,500,CST,4793,1244,1169,4164,9
66,670,500,CST,2358,1137,1139,4354,9
64,670,500,CST,2125,1197,10997,5094,9
65,670,500,CST,2165,1195,1121,4085,9
12,120,1000,St,11052,1379,695,587,10
9,120,1000,St,2045,597,373,772,10
11,120,1000,St,4300,1173,457,788,10
16,120,1000,St,4332,421,473,764,10
9,120,1000,St,2213,798,547,774,10
69,670,1000,CST,2359,1235,1130,4117,10
65,670,1000,CST,2201,1162,1119,4286,10
63,670,1000,CST,2528,1156,1138,4254,10
63,670,1000,CST,2304,1211,1169,4069,10
65,670,1000,CST,2193,1191,1126,6965,10
23,120,2000,St,2133,467,411,816,11
24,120,2000,St,2340,465,405,765,11
27,120,2000,St,11611,728,567,1042,11
23,120,2000,St,2103,445,381,779,11
19,120,2000,St,10182,1041,561,1054,11
72,670,2000,CST,2330,1267,1137,15042,11
68,670,2000,CST,3620,2085,3196,5998,11
66,670,2000,CST,2442,1169,1158,5426,11
66,670,2000,CST,2524,1189,1144,5486,11
67,670,2000,CST,2481,1313,1115,4223,11
44,120,4000,St,1944,480,323,633,12
39,120,4000,St,1982,521,343,652,12
38,120,4000,St,2139,437,377,637,12
40,120,4000,St,5140,753,319,979,12
45,120,4000,St,2157,683,409,1011,12
78,670,4000,CST,2765,1559,1181,4762,12
67,670,4000,CST,2227,1170,1153,4269,12
65,670,4000,CST,4239,2037,1899,4102,12
64,670,4000,CST,2412,1147,1122,6202,12
69,670,4000,CST,2287,1130,1132,4485,12
86,120,8000,St,2327,1053,419,778,13
72,120,8000,St,5248,1239,417,778,13
71,120,8000,St,2293,1000,445,780,13
71,120,8000,St,2404,832,561,778,13
80,120,8000,St,2283,784,425,780,13
66,670,8000,CST,2279,1201,1119,4416,13
67,670,8000,CST,2161,1170,1138,4080,13
66,670,8000,CST,2099,1171,1117,4102,13
66,670,8000,CST,2163,1253,1110,4228,13
64,670,8000,CST,2395,1157,1114,4107,13
184,120,16000,St,3033,1180,583,1189,14
148,120,16000,St,3057,1190,710,904,14
149,120,16000,St,2665,608,656,882,14
144,120,16000,St,2536,769,515,898,14
138,120,16000,St,2664,884,716,893,14
68,670,16000,CST,2400,1465,1189,4124,14
65,670,16000,CST,2125,1183,1194,4610,14
65,670,16000,CST,2383,1239,1123,4454,14
65,670,16000,CST,2093,1197,1153,10033,14
65,670,16000,CST,2401,1243,1145,4308,14
353,120,32000,St,97267,1409,760,1327,15
272,120,32000,St,27906,1108,792,1732,15
277,120,32000,St,35548,2442,1463,1720,15
278,120,32000,St,31958,1178,700,1339,15
272,120,32000,St,23813,2195,1075,1850,15
70,670,32000,CST,3434,2169,2047,6726,15
67,670,32000,CST,3376,2234,1180,4218,15
64,670,32000,CST,2327,1197,1169,4117,15
66,670,32000,CST,2731,1163,1117,4368,15
66,670,32000,CST,2187,1157,1131,4046,15
733,120,64000,St,84618,2524,846,1405,16
557,120,64000,St,68208,2207,942,938,16
582,120,64000,St,80366,2955,1646,1085,16
569,120,64000,St,72775,2935,1274,1507,16
633,120,64000,St,67750,2460,1774,1267,16
71,670,64000,CST,3388,1946,1915,3077,16
66,670,64000,CST,2169,1263,1129,2878,16
66,670,64000,CST,2171,1174,1142,3191,16
66,670,64000,CST,2394,1184,1136,2761,16
66,670,64000,CST,2256,1409,1145,2877,16
1456,120,128000,St,73390,2280,886,938,17
1219,120,128000,St,82365,3448,1581,1213,17
1175,120,128000,St,101108,3815,1289,1123,17
1163,120,128000,St,78287,2520,1080,732,17
1352,120,128000,St,67847,5794,978,992,17
75,670,128000,CST,5076,1363,1145,2837,17
64,670,128000,CST,2309,1247,1115,2902,17
66,670,128000,CST,2197,1271,1139,3171,17
66,670,128000,CST,2228,1229,1185,3037,17
65,670,128000,CST,2131,1143,1127,4786,17
2902,120,256000,St,30713,1008,625,646,18
2345,120,256000,St,21700,1219,762,721,18
2753,120,256000,St,18753,948,630,571,18
2438,120,256000,St,21719,1806,894,896,18
2470,120,256000,St,16759,1489,755,626,18
81,670,256000,CST,2315,1267,1128,5210,18
68,670,256000,CST,2367,1182,1179,3413,18
202,670,256000,CST,7957,3575,1928,5098,18
74,670,256000,CST,2412,1253,1123,3234,18
65,670,256000,CST,2222,1273,1265,2886,18
