Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind50,tFind500,tFindLog,Log
12,120,500,St,6135,1814,1344,2205,9
8,120,500,St,3054,659,534,1233,9
3,120,500,St,1959,623,610,1560,9
3,120,500,St,2383,745,671,1216,9
8,120,500,St,7814,1117,519,1040,9
148,670,500,CST,447,112,64,295,9
63,670,500,CST,397,82,66,305,9
65,670,500,CST,580,132,161,454,9
74,670,500,CST,399,66,66,285,9
64,670,500,CST,440,105,67,317,9
18,120,1000,St,4025,1133,1082,1914,10
10,120,1000,St,2731,905,716,1809,10
8,120,1000,St,1658,475,383,768,10
10,120,1000,St,2520,590,558,1237,10
5,120,1000,St,8241,700,581,944,10
83,670,1000,CST,580,155,107,451,10
71,670,1000,CST,409,83,77,293,10
64,670,1000,CST,385,88,66,288,10
70,670,1000,CST,379,69,65,293,10
70,670,1000,CST,634,121,136,397,10
31,120,2000,St,3863,976,802,1898,11
17,120,2000,St,2652,511,525,1207,11
17,120,2000,St,5132,642,453,1133,11
16,120,2000,St,2832,734,545,1034,11
17,120,2000,St,2235,556,465,800,11
81,670,2000,CST,413,145,68,296,11
69,670,2000,CST,310,74,81,300,11
70,670,2000,CST,406,103,105,391,11
64,670,2000,CST,443,93,66,277,11
70,670,2000,CST,445,70,74,277,11
53,120,4000,St,2147,655,362,676,12
28,120,4000,St,2471,664,385,910,12
32,120,4000,St,2037,414,436,759,12
31,120,4000,St,2145,435,319,623,12
29,120,4000,St,1916,473,288,663,12
78,670,4000,CST,369,94,98,290,12
65,670,4000,CST,338,75,95,275,12
63,670,4000,CST,407,86,150,290,12
66,670,4000,CST,411,84,114,315,12
69,670,4000,CST,375,103,107,293,12
74,120,8000,St,2255,571,451,772,13
53,120,8000,St,2129,550,417,780,13
55,120,8000,St,2358,524,341,766,13
52,120,8000,St,2247,465,411,761,13
55,120,8000,St,3077,767,813,1589,13
89,670,8000,CST,423,98,144,290,13
64,670,8000,CST,341,90,96,291,13
63,670,8000,CST,345,101,126,303,13
72,670,8000,CST,371,100,104,300,13
72,670,8000,CST,349,82,118,297,13
130,120,16000,St,2820,587,443,958,14
109,120,16000,St,2809,496,600,894,14
101,120,16000,St,2821,554,560,897,14
104,120,16000,St,2707,521,395,922,14
112,120,16000,St,6152,916,768,1323,14
87,670,16000,CST,499,96,74,285,14
65,670,16000,CST,393,102,70,319,14
64,670,16000,CST,535,128,70,281,14
63,670,16000,CST,349,124,68,307,14
63,670,16000,CST,318,127,79,309,14
246,120,32000,St,10480,1199,966,1916,15
208,120,32000,St,10885,1859,1012,1972,15
221,120,32000,St,8582,1091,758,1327,15
203,120,32000,St,42509,2953,2103,2571,15
213,120,32000,St,8696,918,686,1317,15
92,670,32000,CST,701,83,80,363,15
73,670,32000,CST,477,104,72,280,15
65,670,32000,CST,342,99,66,286,15
66,670,32000,CST,389,68,68,327,15
66,670,32000,CST,337,112,94,287,15
538,120,64000,St,25962,1980,1197,2001,16
425,120,64000,St,54925,5914,2275,1632,16
442,120,64000,St,32972,1401,1018,2133,16
415,120,64000,St,31696,1353,1055,2120,16
405,120,64000,St,36384,1503,1130,2195,16
96,670,64000,CST,3492,82,76,351,16
68,670,64000,CST,531,175,120,296,16
64,670,64000,CST,390,66,67,279,16
64,670,64000,CST,411,95,68,316,16
65,670,64000,CST,439,96,94,275,16
1074,120,128000,St,19308,1049,784,1522,17
838,120,128000,St,19154,1285,892,2213,17
851,120,128000,St,23704,1429,830,1536,17
835,120,128000,St,23852,4496,1002,2198,17
837,120,128000,St,18537,1383,874,1518,17
121,670,128000,CST,834,108,80,347,17
66,670,128000,CST,536,110,64,309,17
63,670,128000,CST,361,102,78,286,17
70,670,128000,CST,531,66,70,284,17
65,670,128000,CST,545,120,78,277,17
2323,120,256000,St,12403,1257,941,1574,18
1733,120,256000,St,6824,782,582,1163,18
1739,120,256000,St,6223,686,567,1163,18
1686,120,256000,St,6758,977,621,1159,18
1701,120,256000,St,10900,1113,866,1475,18
172,670,256000,CST,609,94,156,359,18
73,670,256000,CST,382,112,70,286,18
71,670,256000,CST,459,107,91,376,18
66,670,256000,CST,445,117,68,301,18
65,670,256000,CST,329,116,80,276,18
