Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind10,tFind20,tFind40,tFind80,tFindLog,tFind800,Log
10,27.814,800,St,125920,8350,4770,1830,1560,14369,1540,10
8,27.814,800,St,57790,8560,4960,1990,1700,8849,1760,10
8,27.814,800,St,57420,8459,4620,1830,1690,9080,1610,10
9,27.814,800,St,50279,7340,3950,1570,1410,7530,1350,10
9,27.814,800,St,44600,6860,3830,1440,1370,7110,1480,10
22,30.733,1600,St,96160,1630,1320,1080,930,960,1180,11
16,30.733,1600,St,48950,1040,860,890,790,820,810,11
16,30.733,1600,St,56420,1310,980,960,1000,1030,930,11
6,30.733,1600,St,21020,410,330,350,300,330,320,11
6,30.733,1600,St,27180,490,380,380,370,360,380,11
16,36.152,3200,St,31730,480,400,300,320,340,370,12
13,36.152,3200,St,15310,380,370,310,310,280,330,12
13,36.152,3200,St,17270,410,310,320,310,290,320,12
13,36.152,3200,St,15900,410,300,300,300,330,360,12
13,36.152,3200,St,15570,410,360,300,330,330,310,12
32,47.2,6400,St,20590,540,370,340,300,300,340,13
26,47.2,6400,St,19770,720,360,320,310,300,350,13
26,47.2,6400,St,20210,470,330,280,280,340,320,13
26,47.2,6400,St,19700,490,350,300,310,260,300,13
26,47.2,6400,St,20500,440,330,280,320,290,300,13
69,69.355,12800,St,49499,1070,500,410,450,1030,450,14
55,69.355,12800,St,41800,710,440,420,390,380,460,14
60,69.355,12800,St,38430,630,450,350,320,350,390,14
64,69.355,12800,St,38930,690,350,370,340,350,350,14
63,69.355,12800,St,41320,710,460,390,420,420,430,14
162,113.629,25600,St,135470,880,450,360,340,360,410,15
148,113.629,25600,St,122709,1090,510,510,460,440,480,15
139,113.629,25600,St,96210,750,400,370,370,350,370,15
133,113.629,25600,St,99790,770,410,390,380,370,370,15
133,113.629,25600,St,99350,810,430,390,330,380,370,15
289,201.681,51200,St,74390,720,480,420,380,520,450,16
296,201.681,51200,St,70070,680,460,410,350,430,390,16
300,201.681,51200,St,70079,710,420,380,360,470,400,16
308,201.681,51200,St,70370,720,450,390,390,430,420,16
297,201.681,51200,St,68200,560,440,390,360,390,390,16
626,377.281,102400,St,114370,960,490,390,410,390,410,17
531,377.281,102400,St,118259,970,410,380,380,420,390,17
515,377.281,102400,St,117380,890,400,390,370,450,410,17
515,377.281,102400,St,118150,960,450,370,360,450,410,17
510,377.281,102400,St,106320,970,450,410,350,430,380,17
1129,729.449,204800,St,207769,790,440,420,410,400,430,18
963,729.449,204800,St,183279,4750,410,400,360,390,360,18
991,729.449,204800,St,185909,840,480,390,370,420,350,18
974,729.449,204800,St,191469,940,490,420,340,380,350,18
968,729.449,204800,St,189419,770,400,360,350,400,380,18
2235,1433,409600,St,99800,810,460,390,380,380,360,19
2323,1433,409600,St,103359,790,440,420,370,410,410,19
2225,1433,409600,St,105319,820,460,390,360,380,430,19
2214,1433,409600,St,99809,700,400,380,360,380,400,19
2177,1433,409600,St,101549,710,370,360,400,370,390,19
5041,2852,819200,St,1.00857e+06,12530,2370,780,750,2470,740,20
4647,2852,819200,St,878536,12090,2030,790,780,2250,4340,20
4552,2852,819200,St,980486,11780,2190,740,790,2670,730,20
4512,2852,819200,St,926746,12820,2100,860,790,2270,710,20
4523,2852,819200,St,998806,12780,2280,820,760,2449,680,20
10098,5692,1638400,St,2.27225e+06,6010,620,560,470,500,470,21
9255,5692,1638400,St,2.25932e+06,4800,640,490,460,490,460,21
9656,5692,1638400,St,2.13766e+06,5420,680,610,450,480,440,21
9152,5692,1638400,St,2.2389e+06,4790,640,570,500,480,490,21
9960,5692,1638400,St,2.25625e+06,4910,580,510,500,530,500,21
36835,11419,3276800,St,7.74427e+06,16370,2040,1340,1190,1220,1390,22
23413,11419,3276800,St,3.3066e+06,7540,820,610,500,530,470,22
25176,11419,3276800,St,3.64829e+06,7670,850,510,480,470,460,22
22774,11419,3276800,St,3.69216e+06,8030,860,570,490,520,500,22
23381,11419,3276800,St,3.71741e+06,8530,940,590,540,500,520,22
