Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind10,tFind20,tFind40,tFind80,tFindLog,Log
5,120,800,St,48330,3200,1970,650,540,4170,10
3,120,800,St,18950,2890,1650,560,560,3000,10
3,120,800,St,26370,2760,1610,540,580,3490,10
3,120,800,St,20410,2910,1750,540,520,3170,10
3,120,800,St,20660,2660,1440,540,520,2910,10
10,120,1600,St,49229,720,540,480,490,480,11
10,120,1600,St,33100,610,500,460,450,390,11
10,120,1600,St,50170,1110,960,1020,800,760,11
8,120,1600,St,27759,480,330,350,290,360,11
6,120,1600,St,22880,430,330,320,320,340,11
37,120,3200,St,59610,1230,880,810,780,810,12
26,120,3200,St,15000,390,330,290,310,290,12
12,120,3200,St,16100,410,320,280,300,340,12
12,120,3200,St,15530,380,340,330,310,290,12
12,120,3200,St,14540,340,310,280,320,280,12
31,120,6400,St,19370,550,390,320,320,380,13
26,120,6400,St,21460,490,290,320,300,340,13
26,120,6400,St,19080,440,310,320,310,300,13
26,120,6400,St,18610,430,300,300,310,290,13
26,120,6400,St,20730,480,290,330,310,290,13
61,120,12800,St,33130,600,370,310,340,310,14
54,120,12800,St,35070,570,340,330,300,330,14
56,120,12800,St,39170,590,330,320,340,350,14
61,120,12800,St,49190,860,480,450,450,480,14
57,120,12800,St,33130,570,400,350,310,350,14
132,120,25600,St,97529,760,450,360,370,410,15
138,120,25600,St,95110,710,400,350,400,410,15
137,120,25600,St,103749,780,460,410,400,390,15
133,120,25600,St,100500,740,400,360,380,390,15
133,120,25600,St,103680,1060,500,460,460,470,15
289,120,51200,St,69520,700,470,380,390,460,16
295,120,51200,St,74310,590,410,390,350,400,16
301,120,51200,St,74330,680,410,400,400,380,16
282,120,51200,St,76890,560,360,340,370,390,16
283,120,51200,St,75380,610,390,370,350,410,16
617,120,102400,St,129519,960,510,440,410,460,17
544,120,102400,St,115390,1290,490,390,420,420,17
569,120,102400,St,122629,1010,500,370,380,390,17
531,120,102400,St,110830,1280,450,400,400,430,17
591,120,102400,St,111920,960,490,430,400,450,17
1174,120,204800,St,193019,820,430,420,350,400,18
992,120,204800,St,193489,740,530,400,420,420,18
1009,120,204800,St,194360,840,410,410,390,420,18
1018,120,204800,St,195269,850,450,410,400,450,18
1019,120,204800,St,191729,760,440,400,380,390,18
2375,120,409600,St,113629,880,480,410,390,410,19
2406,120,409600,St,114100,800,490,370,370,410,19
2317,120,409600,St,105889,870,510,400,410,430,19
2548,120,409600,St,139980,1030,590,570,560,610,19
2355,120,409600,St,103199,840,460,390,370,440,19
5039,120,819200,St,980686,11810,2340,750,680,2330,20
4536,120,819200,St,980156,11980,2140,680,690,2170,20
4657,120,819200,St,974785,11890,2200,710,700,2330,20
4609,120,819200,St,964925,11800,1980,720,710,2190,20
4567,120,819200,St,977376,11920,2090,760,760,2300,20
10614,120,1638400,St,2.06308e+06,4260,620,570,490,520,21
9369,120,1638400,St,2.22607e+06,4270,630,540,480,460,21
9600,120,1638400,St,2.23007e+06,4420,630,500,460,530,21
9191,120,1638400,St,2.23052e+06,5180,860,590,490,490,21
10011,120,1638400,St,2.21404e+06,4330,620,520,490,520,21
62003,120,3276800,St,8.78399e+06,91150,20630,1460,1480,1650,22
34923,120,3276800,St,3.79599e+06,8010,1050,550,500,1200,22
31083,120,3276800,St,8.5238e+06,17600,2220,1710,1400,1550,22
26428,120,3276800,St,8.34349e+06,11100,1270,760,720,790,22
38518,120,3276800,St,9.93034e+06,19590,2310,1820,1360,1780,22
